Date,NSEI,NSEI_ret,realized_vol_5d,regime,regime_label
2024-04-03,22434.650390625,-0.08309754048160305,0.4331336771437407,0,Bull (Strong Uptrend)
2024-04-04,22514.650390625,0.3559569696514453,0.4247171749361986,0,Bull (Strong Uptrend)
2024-04-05,22513.69921875,-0.00422476898839797,0.30009731735035644,0,Bull (Strong Uptrend)
2024-04-08,22666.30078125,0.6755296273493474,0.32692091486969477,0,Bull (Strong Uptrend)
2024-04-09,22642.75,-0.10395619844089984,0.3389637355887397,0,Bull (Strong Uptrend)
2024-04-10,22753.80078125,0.4892486360835239,0.32945891199168087,0,Bull (Strong Uptrend)
2024-04-12,22519.400390625,-1.035502147176367,0.6668404871012303,0,Bull (Strong Uptrend)
2024-04-15,22272.5,-1.1024443666037695,0.8309813865482145,0,Bull (Strong Uptrend)
2024-04-16,22147.900390625,-0.5610032105390299,0.6674470000614044,0,Bull (Strong Uptrend)
2024-04-18,21995.849609375,-0.6888920065700563,0.6395195304431571,0,Bull (Strong Uptrend)
2024-04-19,22147.0,0.6848265696137249,0.72192006400402,0,Bull (Strong Uptrend)
2024-04-22,22336.400390625,0.8515605079627573,0.8754523703669137,0,Bull (Strong Uptrend)
2024-04-23,22368.0,0.1413713834063861,0.7012153743815887,0,Bull (Strong Uptrend)
2024-04-24,22402.400390625,0.1536747364098986,0.6023364184569788,0,Bull (Strong Uptrend)
2024-04-25,22570.349609375,0.7468967297299811,0.34133641912690077,0,Bull (Strong Uptrend)
2024-04-26,22419.94921875,-0.6685928069119567,0.6069487182459415,0,Bull (Strong Uptrend)
2024-04-29,22643.400390625,0.9917283345523464,0.6440710662213522,0,Bull (Strong Uptrend)
2024-04-30,22604.849609375,-0.17039682453004384,0.6743802146751208,0,Bull (Strong Uptrend)
2024-05-02,22648.19921875,0.19158763335262374,0.6737921598896307,0,Bull (Strong Uptrend)
2024-05-03,22475.849609375,-0.7638962014882933,0.7149496420015666,0,Bull (Strong Uptrend)
2024-05-06,22442.69921875,-0.14760226012829025,0.6427543448945039,0,Bull (Strong Uptrend)
2024-05-07,22302.5,-0.6266579655461011,0.388435323201923,0,Bull (Strong Uptrend)
2024-05-08,22302.5,0.0,0.4099025364603718,0,Bull (Strong Uptrend)
2024-05-09,21957.5,-1.5590012996666094,0.6144167752869465,1,Low-Momentum / Sideways
2024-05-10,22055.19921875,0.44395995226600193,0.762918743666515,1,Low-Momentum / Sideways
