Date,NSEI,BSESN,INDIAVIX
2020-01-14,12362.2998046875,41952.62890625,13.90999984741211
2020-01-15,12343.2998046875,41872.73046875,14.119999885559082
2020-01-16,12355.5,41932.55859375,14.180000305175781
2020-01-17,12352.349609375,41945.37109375,14.130000114440918
2020-01-20,12224.5498046875,41528.91015625,15.40999984741211
2020-01-21,12169.849609375,41323.80859375,15.859999656677246
2020-01-22,12106.900390625,41115.37890625,16.360000610351562
2020-01-23,12180.349609375,41386.3984375,15.859999656677246
2020-01-24,12248.25,41613.19140625,15.5600004196167
2020-01-27,12119.0,41155.12109375,17.18000030517578
2020-01-28,12055.7998046875,40966.859375,17.299999237060547
2020-01-29,12129.5,41198.66015625,16.5
2020-01-30,12035.7998046875,40913.8203125,16.799999237060547
2020-01-31,11962.099609375,40723.48828125,17.3700008392334
2020-02-03,11707.900390625,39872.30859375,15.779999732971191
2020-02-04,11979.650390625,40789.37890625,14.380000114440918
2020-02-05,12089.150390625,41142.66015625,14.170000076293945
2020-02-06,12137.9501953125,41306.03125,13.779999732971191
2020-02-07,12098.349609375,41141.8515625,13.75
2020-02-10,12031.5,40979.62109375,14.210000038146973
2020-02-11,12107.900390625,41216.140625,13.880000114440918
2020-02-12,12201.2001953125,41565.8984375,13.619999885559082
2020-02-13,12174.650390625,41459.7890625,13.369999885559082
2020-02-14,12113.4501953125,41257.73828125,13.619999885559082
2020-02-17,12045.7998046875,41055.69140625,14.420000076293945
2020-02-18,11992.5,40894.37890625,14.510000228881836
2020-02-19,12125.900390625,41323.0,14.020000457763672
2020-02-20,12080.849609375,41170.12109375,13.699999809265137
2020-02-24,11829.400390625,40363.23046875,17.0
2020-02-25,11797.900390625,40281.19921875,16.899999618530273
2020-02-26,11678.5,39888.9609375,18.260000228881836
2020-02-27,11633.2998046875,39745.66015625,17.770000457763672
2020-02-28,11201.75,38297.2890625,23.239999771118164
2020-03-02,11132.75,38144.01953125,25.200000762939453
2020-03-03,11303.2998046875,38623.69921875,24.540000915527344
2020-03-04,11251.0,38409.48046875,24.229999542236328
2020-03-05,11269.0,38470.609375,23.25
2020-03-06,10989.4501953125,37576.62109375,25.639999389648438
2020-03-09,10451.4501953125,35634.94921875,30.799999237060547
2020-03-11,10458.400390625,35697.3984375,31.559999465942383
2020-03-12,9590.150390625,32778.140625,41.15999984741211
2020-03-13,9955.2001953125,34103.48046875,51.470001220703125
2020-03-16,9197.400390625,31390.0703125,58.880001068115234
2020-03-17,8967.0498046875,30579.08984375,62.93000030517578
2020-03-18,8468.7998046875,28869.509765625,63.959999084472656
2020-03-19,8263.4501953125,28288.23046875,72.19999694824219
2020-03-20,8745.4501953125,29915.9609375,67.0999984741211
2020-03-23,7610.25,25981.240234375,71.98999786376953
2020-03-24,7801.0498046875,26674.029296875,83.61000061035156
2020-03-25,8317.849609375,28535.779296875,77.62999725341797
2020-03-26,8641.4501953125,29946.76953125,71.52999877929688
2020-03-27,8660.25,29815.58984375,70.38999938964844
2020-03-30,8281.099609375,28440.3203125,71.88999938964844
